Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
78,"EC Carlson, JL Audette, ...","Ultrastructural morphometry of capillary basement membrane thickness in normal and transgenic diabetic mice",2003,"… Record Part A …","Wiley Online Library","https://anatomypubs.onlinelibrary.wiley.com/doi/abs/10.1002/ar.a.10038","https://scholar.google.com/scholar?cites=17128189422486805969&as_sdt=2005&sciodt=2007&hl=en",1,"2023-07-14 12:43:51","","10.1002/ar.a.10038","","",,,,,78,3.90,26,3,20,"… diabetic mice have been described previously (Epstein et al., 1989, 1992). In the present study, OVE26-positive mice … Control mice were nontransgenic mice from the same strain. All …","https://anatomypubs.onlinelibrary.wiley.com/doi/pdf/10.1002/ar.a.10038","https://scholar.google.com/scholar?q=related:0d3t3IeNs-0J:scholar.google.com/&scioq=%22capillary+basement+membrane+thickness%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
23,"R Miller‐Lotan, B Miller, F Nakhoul, ...","Retinal capillary basement membrane thickness in diabetic mice genetically modified at the haptoglobin locus",2007,"Diabetes/metabolism …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/dmrr.654","https://scholar.google.com/scholar?cites=15503001076938010991&as_sdt=2005&sciodt=2007&hl=en",2,"2023-07-14 12:43:51","","10.1002/dmrr.654","","",,,,,23,1.44,6,4,16,"… capillary basement membrane thickness Retinal capillary basement membrane thickness was assessed from electron microscope photographs from three different mice with either Hp 1 …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/dmrr.654","https://scholar.google.com/scholar?q=related:b3FjT1e5JdcJ:scholar.google.com/&scioq=%22capillary+basement+membrane+thickness%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
42,"JJ Steinle, TS Kern, SA Thomas, ...","Increased basement membrane thickness, pericyte ghosts, and loss of retinal thickness and cells in dopamine beta hydroxylase knockout mice",2009,"Experimental eye …","Elsevier","https://www.sciencedirect.com/science/article/pii/S001448350800465X","https://scholar.google.com/scholar?cites=11817890569421625583&as_sdt=2005&sciodt=2007&hl=en",3,"2023-07-14 12:43:51","HTML","","","",,,,,42,3.00,11,4,14,"… , suggesting that the retinal changes in the Dbh −/− mice are more likely due to the loss of … Dbh −/− mice also had a significant increase in retinal capillary basement membrane thickness…","https://www.sciencedirect.com/science/article/pii/S001448350800465X","https://scholar.google.com/scholar?q=related:75jQ6NuUAaQJ:scholar.google.com/&scioq=%22capillary+basement+membrane+thickness%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
12,"ML Beauchemin, PM Leuenberger, ...","Retinal capillary basement membrane thickness in spiny mice (Acomys cahirinus) with induced and spontaneous diabetes.",1975,"… & Visual Science","iovs.arvojournals.org","https://iovs.arvojournals.org/article.aspx?articleid=2158507","https://scholar.google.com/scholar?cites=16059342351963603223&as_sdt=2005&sciodt=2007&hl=en",4,"2023-07-14 12:43:51","","","","",,,,,12,0.25,4,3,48,"Basement membrane thickness was measured in two groups of spiny mice (Acomys cahirinus): one with spontaneous diabetes, the other with streptozotocin-induced diabetes. A …","","https://scholar.google.com/scholar?q=related:F0Etd8g-3t4J:scholar.google.com/&scioq=%22capillary+basement+membrane+thickness%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
12,"RA Cuthbertson, JL Hopper, TE Mandel","Difference in effect of cultured fetal pancreas transplants on retinal and renal capillary basement membrane thickness in diabetic mice.",1989,"Transplantation","europepmc.org","https://europepmc.org/article/med/2667204","https://scholar.google.com/scholar?cites=5628360826513110664&as_sdt=2005&sciodt=2007&hl=en",5,"2023-07-14 12:43:51","","","","",,,,,12,0.35,4,3,34,"… capillary basement membrane thickness (BMT) in mice made diabetic with streptozotocin and transplanted either early or late, or treated with insulin. BALB/c female mice were … mice. All …","","https://scholar.google.com/scholar?q=related:iLYJ9Fn0G04J:scholar.google.com/&scioq=%22capillary+basement+membrane+thickness%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
45,"AR Diani, GA Sawada, NY Zhang, BM Wyse, ...","The KKAy mouse: a model for the rapid development of glomerular capillary basement membrane thickening",1987,"Journal of Vascular …","karger.com","https://karger.com/jvr/article/24/6/297/335800","https://scholar.google.com/scholar?cites=10116147865343515813&as_sdt=2005&sciodt=2007&hl=en",6,"2023-07-14 12:43:51","","","","",,,,,45,1.25,9,5,36,"… Furthermore, the peripheral GBM thickness was exacerbated (20%, p <0.001) by 165 days of age in the KKA> mice. The results of the present study suggest that peripheral glomerular …","","https://scholar.google.com/scholar?q=related:pVwgyeLGY4wJ:scholar.google.com/&scioq=%22capillary+basement+membrane+thickness%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
53,"JM Lash, WM Sherman, RL Hamlin","Capillary basement membrane thickness and capillary density in sedentary and trained obese Zucker rats",1989,"Diabetes","Am Diabetes Assoc","https://diabetesjournals.org/diabetes/article-abstract/38/7/854/8924","https://scholar.google.com/scholar?cites=6862861356362463896&as_sdt=2005&sciodt=2007&hl=en",7,"2023-07-14 12:43:51","","","","",,,,,53,1.56,18,3,34,"… The presence of skeletal muscle microvascular disease has been documented in streptozocin-induced diabetic rats and mice and in obese mice (6). In addition, capillary basement …","","https://scholar.google.com/scholar?q=related:mHq96ArIPV8J:scholar.google.com/&scioq=%22capillary+basement+membrane+thickness%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
5,"M SHIBATA, T KISHI, B YASUDA, ...","The Inhibitory Erect of Lysozyme on the Glomerular Basement Membrane Thickening in Spontaneous Diabetic Mice (NSY Mice)",1986,"The Tohoku Journal of …","jstage.jst.go.jp","https://www.jstage.jst.go.jp/article/tjem1920/149/1/149_1_39/_article/-char/ja/","https://scholar.google.com/scholar?cites=5898299807343019003&as_sdt=2005&sciodt=2007&hl=en",8,"2023-07-14 12:43:51","","","","",,,,,5,0.14,1,4,37,"… on the renal conditions of spontaneous diabetic mice (NSY mice). We assessed the changes … Littermate, male F19 NSY mice were divided into two groups. One of the groups (Group L) …","https://www.jstage.jst.go.jp/article/tjem1920/149/1/149_1_39/_pdf","https://scholar.google.com/scholar?q=related:-4Nvm2z42lEJ:scholar.google.com/&scioq=%22capillary+basement+membrane+thickness%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
1,"A Ellis, M Grant","Lack of Nitric Oxide Results in Increased Glomerular Capillary Basement Membrane Thickness",2009,"Microscopy and Microanalysis","cambridge.org","https://www.cambridge.org/core/journals/microscopy-and-microanalysis/article/lack-of-nitric-oxide-results-in-increased-glomerular-capillary-basement-membrane-thickness/2B5AA2F3827E7303FA523161740C33B5","https://scholar.google.com/scholar?cites=12116653571950899226&as_sdt=2005&sciodt=2007&hl=en",9,"2023-07-14 12:43:51","","","","",,,,,1,0.07,1,2,14,"… is exacerbated in kidneys of mice lacking the gene for iNOS [3… Mice with gene deletions of specific NOS isoforms provide a … ) mice as well as in diabetic WT, eNOS KO and iNOS KO mice …","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/2B5AA2F3827E7303FA523161740C33B5/S1431927609093489a.pdf/div-class-title-lack-of-nitric-oxide-results-in-increased-glomerular-capillary-basement-membrane-thickness-div.pdf","https://scholar.google.com/scholar?q=related:GvCZFjoAJ6gJ:scholar.google.com/&scioq=%22capillary+basement+membrane+thickness%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
117,"Q Li, A Verma, P Han, T Nakagawa, ...","Diabetic eNOS-knockout mice develop accelerated retinopathy",2010,"… & visual science","iovs.arvojournals.org","https://iovs.arvojournals.org/article.aspx?articleid=2126948","https://scholar.google.com/scholar?cites=12861470036896045549&as_sdt=2005&sciodt=2007&hl=en",10,"2023-07-14 12:43:51","HTML","","","",,,,,117,9.00,23,5,13,"… Retinal capillary basement membrane thickness was assessed by transmission electron … mice exhibit more severe retinal vascular permeability than age-matched diabetic C57BL/6 mice…","https://iovs.arvojournals.org/article.aspx?articleid=2126948","https://scholar.google.com/scholar?q=related:7dmEBtsefbIJ:scholar.google.com/&scioq=%22capillary+basement+membrane+thickness%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
