Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
53,"JM Lash, WM Sherman, RL Hamlin","Capillary basement membrane thickness and capillary density in sedentary and trained obese Zucker rats",1989,"Diabetes","Am Diabetes Assoc","https://diabetesjournals.org/diabetes/article-abstract/38/7/854/8924","https://scholar.google.com/scholar?cites=6862861356362463896&as_sdt=2005&sciodt=2007&hl=en",1,"2023-07-26 15:01:39","","","","",,,,,53,1.56,18,3,34,"The purpose of this study was to determine whether the obese Zucker rat (OZR) develops diabeteslike peripheral vascular disease and evaluate the effects of exercise training (treadmill …","","https://scholar.google.com/scholar?q=related:mHq96ArIPV8J:scholar.google.com/&scioq=%22capillary+basement+membrane+thickness%22+%22rats%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
25,"RN Frank, S Dutta, SE Frank","Cerebral cortical capillary basement membrane thickening in galactosaemic rats",1987,"Diabetologia","Springer","https://link.springer.com/article/10.1007/BF00296999","https://scholar.google.com/scholar?cites=8913596921501252650&as_sdt=2005&sciodt=2007&hl=en",2,"2023-07-26 15:01:39","","10.1007/BF00296999","","",,,,,25,0.69,8,3,36,"… membrane thickness increases with age in normal animals [1, 3], as we have demonstrated previously for the retinal capillaries of the rat [11], capillary basement membrane thickness …","https://link.springer.com/content/pdf/10.1007/BF00296999.pdf","https://scholar.google.com/scholar?q=related:KvwYgSx1s3sJ:scholar.google.com/&scioq=%22capillary+basement+membrane+thickness%22+%22rats%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
57,"S Chakrabarti, AAF Sima","Effect of aldose reductase inhibition and insulin treatment on retinal capillary basement membrane thickening in BB rats",1989,"Diabetes","Am Diabetes Assoc","https://diabetesjournals.org/diabetes/article-abstract/38/9/1181/8772","https://scholar.google.com/scholar?cites=16772297509598258224&as_sdt=2005&sciodt=2007&hl=en",3,"2023-07-26 15:01:39","","","","",,,,,57,1.68,29,2,34,"… -prone BB rats and non-diabetesprone male BB rats were obtained from the … rats were randomly assigned to various treatment groups; diabetic animals with poor diabetic control (D rats) …","","https://scholar.google.com/scholar?q=related:MOTFtrgrw-gJ:scholar.google.com/&scioq=%22capillary+basement+membrane+thickness%22+%22rats%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
88,"CJ Fox, SC Darby, JT Ireland, PH Sönksen","Blood glucose control and glomerular capillary basement membrane thickening in experimental diabetes.",1977,"Br Med J","bmj.com","https://www.bmj.com/content/2/6087/605.abstract","https://scholar.google.com/scholar?cites=16258211479594997335&as_sdt=2005&sciodt=2007&hl=en",4,"2023-07-26 15:01:39","","","","",,,,,88,1.91,22,4,46,"… Glomerular capillary basement membrane thickness (BMT) was … capillary basement membrane thickness (BMT) corrected for body weight and mean plasma glucose (MPG) in 35 rats. …","https://www.bmj.com/content/bmj/2/6087/605.full.pdf","https://scholar.google.com/scholar?q=related:VxZwdDPFoOEJ:scholar.google.com/&scioq=%22capillary+basement+membrane+thickness%22+%22rats%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
23,"WG Robison Jr, M Nagata, JH Kinoshita","Aldose reductase and retinal capillary basement membrane thickening",1988,"Experimental eye research","Elsevier","https://www.sciencedirect.com/science/article/pii/S0014483588800241","https://scholar.google.com/scholar?cites=7477017670981540995&as_sdt=2005&sciodt=2007&hl=en",5,"2023-07-26 15:01:39","","","","",,,,,23,0.66,8,3,35,"… Capillary basement membrane thickness in rats fed the diet containing 50% galactose plus 0-04% tolrestat for 88 weeks was significantly less (P <0""01) than in rats fed the galactose …","","https://scholar.google.com/scholar?q=related:g1ws8vSzw2cJ:scholar.google.com/&scioq=%22capillary+basement+membrane+thickness%22+%22rats%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
54,"S Cherian, S Roy, A Pinheiro, S Roy","Tight glycemic control regulates fibronectin expression and basement membrane thickening in retinal and glomerular capillaries of diabetic rats",2009,"… ophthalmology &visual …","arvojournals.org","https://arvojournals.org/article.aspx?articleID=2185222","https://scholar.google.com/scholar?cites=7117134027478338136&as_sdt=2005&sciodt=2007&hl=en",6,"2023-07-26 15:01:39","HTML","","","",,,,,54,3.86,14,4,14,"… Initial and final blood glucose levels and corresponding retinal and glomerular capillary basement membrane thickness of control, tightly controlled, and poorly controlled diabetic rats …","https://arvojournals.org/article.aspx?articleID=2185222","https://scholar.google.com/scholar?q=related:WAqxlrAjxWIJ:scholar.google.com/&scioq=%22capillary+basement+membrane+thickness%22+%22rats%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
8,"MD Greenwood, MJ Ressler, JL Audette, ...","Significant retinal capillary basement membrane thickening in hyperglycemic and normoglycemic diabetic-prone (DP) BB Wistar rats",2011,"Ultrastructural …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.3109/01913123.2010.527037","https://scholar.google.com/scholar?cites=6833709688150031617&as_sdt=2005&sciodt=2007&hl=en",7,"2023-07-26 15:01:39","","10.3109/01913123.2010.527037","","",,,,,8,0.67,2,4,12,"… Retinal capillary basement membrane thickness data in BB/DPn animals have not been reported previously. This may be related to several factors, including the relative scarcity of the …","https://www.tandfonline.com/doi/pdf/10.3109/01913123.2010.527037","https://scholar.google.com/scholar?q=related:Af1TPME21l4J:scholar.google.com/&scioq=%22capillary+basement+membrane+thickness%22+%22rats%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
60,"R Østerby, K Seyer-Hansen, HJG Gundersen, ...","Growth hormone enhances basement membrane thickening in experimental diabetes: a preliminary report",1978,"Diabetologia","Springer","https://link.springer.com/article/10.1007/BF02342875","https://scholar.google.com/scholar?cites=4602997448007118721&as_sdt=2005&sciodt=2007&hl=en",8,"2023-07-26 15:01:39","","10.1007/BF02342875","","",,,,,60,1.33,15,4,45,"… in streptozotocin-diabetic rats showed that compared to saline growth hormone produced a 2t/2-fold larger increase in glomerular capillary basement membrane thickness (2p = 0.027). …","","https://scholar.google.com/scholar?q=related:gW9-jsoh4T8J:scholar.google.com/&scioq=%22capillary+basement+membrane+thickness%22+%22rats%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
35,"SA Vinores, PA Campochiaro, EE May, ...","Progressive ultrastructural damage and thickening of the basement membrane of the retinal pigment epithelium in spontaneously diabetic BB rats",1988,"Experimental eye …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0014483588800113","https://scholar.google.com/scholar?cites=15326693963970807936&as_sdt=2005&sciodt=2007&hl=en",9,"2023-07-26 15:01:39","","","","",,,,,35,1.00,9,4,35,"… Rats … rats were maintained on enough sc insulin to prevent ketonuria. Serum glucose was measured on a Beckman glucose analyzer in four diabetic rats and four littermate control rats …","","https://scholar.google.com/scholar?q=related:gIiat_Ras9QJ:scholar.google.com/&scioq=%22capillary+basement+membrane+thickness%22+%22rats%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
58,"A Das, RN Frank, NL Zhang, E Samadani","Increases in collagen type IV and laminin in galactose-induced retinal capillary basement membrane thickening—prevention by an aldose reductase inhibitor",1990,"Experimental eye research","Elsevier","https://www.sciencedirect.com/science/article/pii/001448359090211C","https://scholar.google.com/scholar?cites=592525022625783863&as_sdt=2005&sciodt=2007&hl=en",10,"2023-07-26 15:01:39","","","","",,,,,58,1.76,15,4,33,"… Retinal capillary basement membrane thickness (BMT) in three groups of experimental … , histochemical studies in diabetic BB rats and in rats made diabetic with streptozotocin show a …","","https://scholar.google.com/scholar?q=related:N-AjZl4SOQgJ:scholar.google.com/&scioq=%22capillary+basement+membrane+thickness%22+%22rats%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
