Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,Note
"Ceafalan, Laura Cristina; Fertig, Tudor Emanuel; Gheorghe, Teodora Cristina; Hinescu, Mihail Eugen; Popescu, Bogdan Ovidiu; Pahnke, Jens; Gherghiceanu, Mihaela; ",Age‐related ultrastructural changes of the basement membrane in the mouse blood‐brain barrier,Journal of cellular and molecular medicine,23,2,819-827,2019,Wiley Online Library,Read
"Roy, Sayon; Kim, Dongjoon; ",Retinal capillary basement membrane thickening: Role in the pathogenesis of diabetic retinopathy,Progress in Retinal and Eye Research,82,,100903,2021,Elsevier,Read
"Leuenberger, PM; ","Ultrastructure of the ageing retinal vascular system, with special reference to quantitative and qualitative changes of capillary basement membranes",Gerontology,19,1,15-Jan,1973,"S. Karger AG Basel, Switzerland",Cannot access
"Lee, Song Eun; Ma, Wanchao; Rattigan, Eileen M; Aleshin, Alexey; Chen, Liqun; Johnson, Lynne L; D'Agati, Vivette D; Schmidt, Ann Marie; Barile, Gaetano R; ",Ultrastructural features of retinal capillary basement membrane thickening in diabetic swine,Ultrastructural Pathology,34,1,35-41,2010,Taylor & Francis,Didn't include because it's not about mice
"Cherian, Saira; Roy, Sumon; Pinheiro, Andre; Roy, Sayon; ",Tight glycemic control regulates fibronectin expression and basement membrane thickening in retinal and glomerular capillaries of diabetic rats,Investigative ophthalmology & visual science,50,2,943-949,2009,The Association for Research in Vision and Ophthalmology,Read
"Tsilibary, Effie C; ",Microvascular basement membranes in diabetes mellitus,The Journal of Pathology: A Journal of the Pathological Society of Great Britain and Ireland,200,4,537-546,2003,Wiley Online Library,Review article
"Roy, Sayon; Sato, Tsuyoshi; Paryani, Gulabray; Kao, Richard; ",Downregulation of fibronectin overexpression reduces basement membrane thickening and vascular lesions in retinas of galactose-fed rats,Diabetes,52,5,1229-1234,2003,Am Diabetes Assoc,Read
"Greenwood, Michael D; Ressler, Michael J; Audette, Janice L; Laturnus, Donna I; Chhoun, Rothanak; Teiken, Jennifer M; Carlson, Edward C; ",Significant retinal capillary basement membrane thickening in hyperglycemic and normoglycemic diabetic-prone (DP) BB Wistar rats,Ultrastructural Pathology,35,2,97-105,2011,Taylor & Francis,Let's include in flow chart
"Carlson, Edward C; Audette, Janice L; Veitenheimer, Nicole J; Risan, Jessica A; Laturnus, Donna I; Epstein, Paul N; ",Ultrastructural morphometry of capillary basement membrane thickness in normal and transgenic diabetic mice,"The Anatomical Record Part A: Discoveries in Molecular, Cellular, and Evolutionary Biology: An Official Publication of the American Association of Anatomists",271,2,332-341,2003,Wiley Online Library,Read
"Steinle, Jena J; Kern, Timothy S; Thomas, Steven A; McFadyen-Ketchum, Lisa S; Smith, Christopher P; ","Increased basement membrane thickness, pericyte ghosts, and loss of retinal thickness and cells in dopamine beta hydroxylase knockout mice",Experimental eye research,88,6,1014-1019,2009,Elsevier,
