Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
19,"SB Mamer, A Wittenkeller, PI Imoukhuede","VEGF-A splice variants bind VEGFRs with differential affinities",2020,"Scientific reports","nature.com","https://www.nature.com/articles/s41598-020-71484-y","https://scholar.google.com/scholar?cites=10382356210346759468&as_sdt=2005&sciodt=2007&hl=en",1,"2023-07-14 14:45:40","HTML","","","",,,,,19,6.33,6,3,3,"… that VEGF-A 165b and VEGF-A 165a bind with similar affinities, but also without providing quantitative measurements of the binding affinity (… measurement of VEGF-NRP1 and VEGF-HS …","https://www.nature.com/articles/s41598-020-71484-y","https://scholar.google.com/scholar?q=related:LBVKGfeJFZAJ:scholar.google.com/&scioq=%22binding+affinity%22+%22kd%22+%22vegf%22+%22nrp1%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
113,"D Krilleke, A DeErkenez, W Schubert, I Giri, ...","Molecular mapping and functional characterization of the VEGF164 heparin-binding domain",2007,"Journal of Biological …","ASBMB","https://www.jbc.org/article/S0021-9258(20)58701-2/abstract","https://scholar.google.com/scholar?cites=4458760339650825437&as_sdt=2005&sciodt=2007&hl=en",2,"2023-07-14 14:45:40","HTML","","","",,,,,113,7.06,23,5,16,"… determine the heparin-binding affinity of VEGF variants, 200 … the apparent dissociation constants (Kd) of these interactions … The VEGF isoform-specific receptor NRP1 binds to the exon …","https://www.jbc.org/article/S0021-9258(20)58701-2/abstract","https://scholar.google.com/scholar?q=related:3cx8x-ey4D0J:scholar.google.com/&scioq=%22binding+affinity%22+%22kd%22+%22vegf%22+%22nrp1%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
33,"CJ Peach, LE Kilpatrick, R Friedman-Ohana, ...","Real-time ligand binding of fluorescent VEGF-A isoforms that discriminate between VEGFR2 and NRP1 in living cells",2018,"Cell chemical …","cell.com","https://www.cell.com/cell-chemical-biology/pdf/S2451-9456(18)30226-5.pdf","https://scholar.google.com/scholar?cites=11603186318424315790&as_sdt=2005&sciodt=2007&hl=en",3,"2023-07-14 14:45:40","PDF","","","",,,,,33,6.60,8,4,5,"… was clearly observed with minimal non-specific binding following incubation for 60 min (KD = … has a similar equilibrium binding affinity for VEGFR2 and NRP1, it binds more rapidly to …","https://www.cell.com/cell-chemical-biology/pdf/S2451-9456(18)30226-5.pdf","https://scholar.google.com/scholar?q=related:jpda9HrMBqEJ:scholar.google.com/&scioq=%22binding+affinity%22+%22kd%22+%22vegf%22+%22nrp1%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
51,"GJ Prud'homme, Y Glinka, Z Lichner, GM Yousef","Neuropilin-1 is a receptor for extracellular miRNA and AGO2/miRNA complexes and mediates the internalization of miRNAs that modulate cell function",2016,"Oncotarget","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5356539/","https://scholar.google.com/scholar?cites=14374843893459192131&as_sdt=2005&sciodt=2007&hl=en",4,"2023-07-14 14:45:40","HTML","","","",,,,,51,7.29,13,4,7,"… The binding affinity of NRP1-Fc and sNRP1 was very close (… miRNAs to immobilized NRP1 and calculated the Kd values. … VEGF did not notably change the affinity of miRNA to NRP1 …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5356539/","https://scholar.google.com/scholar?q=related:QwlUI1y0fccJ:scholar.google.com/&scioq=%22binding+affinity%22+%22kd%22+%22vegf%22+%22nrp1%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
9,"DS Baek, JH Kim, YJ Kim, YS Kim","Immunoglobulin Fc-fused peptide without C-terminal Arg or Lys residue augments neuropilin-1-dependent tumor vascular permeability",2018,"Molecular pharmaceutics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.molpharmaceut.7b00761","https://scholar.google.com/scholar?cites=4933625226860905932&as_sdt=2005&sciodt=2007&hl=en",5,"2023-07-14 14:45:40","","10.1021/acs.molpharmaceut.7b00761","","",,,,,9,1.80,2,4,5,"… , which bind to the VEGF-binding region of NRP1 and enhance vascular permeability, … the non-CendR peptide shows improved binding affinity to NRP1 and enhanced biological activity, …","https://pubs.acs.org/doi/pdf/10.1021/acs.molpharmaceut.7b00761","https://scholar.google.com/scholar?q=related:zEXzHQHCd0QJ:scholar.google.com/&scioq=%22binding+affinity%22+%22kd%22+%22vegf%22+%22nrp1%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
286,"Y Glinka, GJ Prud'homme","Neuropilin-1 is a receptor for transforming growth factor β-1, activates its latent form, and promotes regulatory T cell activity",2008,"Journal of Leucocyte Biology","academic.oup.com","https://academic.oup.com/jleukbio/article-abstract/84/1/302/6975170","https://scholar.google.com/scholar?cites=7020323036677149505&as_sdt=2005&sciodt=2007&hl=en",6,"2023-07-14 14:45:40","","","","",,,,,286,19.07,143,2,15,"… ) bound to Nrp1 and inhibited the binding of VEGF and LAP-… It is a 130- to 140-kD type-1 membrane glycoprotein with a short … These alternative assays generated similar binding-affinity …","https://academic.oup.com/jleukbio/article/84/1/302/6975170","https://scholar.google.com/scholar?q=related:QROiSZsybWEJ:scholar.google.com/&scioq=%22binding+affinity%22+%22kd%22+%22vegf%22+%22nrp1%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
53,"E Geretti, A Shimizu, P Kurschat, ...","Site-directed mutagenesis in the B-neuropilin-2 domain selectively enhances its affinity to VEGF165, but not to semaphorin 3F",2007,"Journal of Biological …","ASBMB","https://www.jbc.org/article/S0021-9258(20)74645-4/abstract","https://scholar.google.com/scholar?cites=2243786238140339246&as_sdt=2005&sciodt=2007&hl=en",7,"2023-07-14 14:45:40","HTML","","","",,,,,53,3.31,13,4,16,"… Unlike NRP1, little is known about NRP2 interactions with its ligands, VEGF 165 and … In this report, we show that SEMA3F competes with VEGF 165 for NRP2 binding and that VEGF 165 …","https://www.jbc.org/article/S0021-9258(20)74645-4/abstract","https://scholar.google.com/scholar?q=related:LtRDDLKHIx8J:scholar.google.com/&scioq=%22binding+affinity%22+%22kd%22+%22vegf%22+%22nrp1%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
202,"H Oh, H Takagi, A Otani, S Koyama, ...","Selective induction of neuropilin-1 by vascular endothelial growth factor (VEGF): a mechanism contributing to VEGF-induced angiogenesis",2002,"Proceedings of the …","National Acad Sciences","https://www.pnas.org/doi/abs/10.1073/pnas.012074399","https://scholar.google.com/scholar?cites=15660193541523099235&as_sdt=2005&sciodt=2007&hl=en",8,"2023-07-14 14:45:40","","10.1073/pnas.012074399","","",,,,,202,9.62,40,5,21,"… but had no significant effect on binding affinity (1.5 ± 0.1 and 1.7 … The position and size in kilodaltons (kD) of molecular mass … of NRP1 Ab in inhibition of VEGF 165 , we tested VEGF 121 …","https://www.pnas.org/doi/full/10.1073/pnas.012074399","https://scholar.google.com/scholar?q=related:Y85ZBA4vVNkJ:scholar.google.com/&scioq=%22binding+affinity%22+%22kd%22+%22vegf%22+%22nrp1%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
151,"WC Liang, MS Dennis, S Stawicki, Y Chanthery, ...","Function blocking antibodies to neuropilin-1 generated from a designed human synthetic antibody phage library",2007,"Journal of molecular …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022283606015506","https://scholar.google.com/scholar?cites=868806033940673208&as_sdt=2005&sciodt=2007&hl=en",9,"2023-07-14 14:45:40","HTML","","","",,,,,151,9.44,30,5,16,"… to the b1b2 domain of NRP1 and potentially block the binding of VEGF, we initiated a new … For binding affinity determinations of anti-NRP1 IgGs, surface plasmon resonance (SPR) …","https://www.sciencedirect.com/science/article/pii/S0022283606015506","https://scholar.google.com/scholar?q=related:uPK_F3yeDgwJ:scholar.google.com/&scioq=%22binding+affinity%22+%22kd%22+%22vegf%22+%22nrp1%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
15,"C Battin, A De Sousa Linhares, W Paster, ...","Neuropilin-1 acts as a receptor for complement split products",2019,"Frontiers in …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fimmu.2019.02209/full","https://scholar.google.com/scholar?cites=13950103652373482545&as_sdt=2005&sciodt=2007&hl=en",10,"2023-07-14 14:45:40","HTML","10.3389/fimmu.2019.02209","","",,,,,15,3.75,4,4,4,"… investigate the binding affinity between C4d and NRP1, BW cells expressing NRP1 and BW … NRP1 and VEGF (42, 43), is crucial for the binding of NRP1 with complement proteins. …","https://www.frontiersin.org/articles/10.3389/fimmu.2019.02209/full","https://scholar.google.com/scholar?q=related:McyZa1y5mMEJ:scholar.google.com/&scioq=%22binding+affinity%22+%22kd%22+%22vegf%22+%22nrp1%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
