Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Rouet, Vincent; Hamma-Kourbali, Yamina; Petit, Emmanuel; Panagopoulou, Panagiota; Katsoris, Panagiotis; Barritault, Denis; Caruelle, Jean-Pierre; Courty, José; ",A synthetic glycosaminoglycan mimetic binds vascular endothelial growth factor and modulates angiogenesis,Journal of Biological Chemistry,280,38,32792-32800,2005,ASBMB
"Clegg, Lindsay E; Mac Gabhann, Feilim; ",A computational analysis of in vivo VEGFR activation by multiple co-expressed ligands,PLoS computational biology,13,3,e1005445,2017,"Public Library of Science San Francisco, CA USA"
"Abir, Ronit; Ao, Asangla; Zhang, Xiao Yun; Garor, Roni; Nitke, Shmuel; Fisch, Benjamin; ","Vascular endothelial growth factor A and its two receptors in human preantral follicles from fetuses, girls, and women",Fertility and sterility,93,7,2337-2347,2010,Elsevier
"Shah, Altaf A; Kamal, Mohammad A; Akhtar, Salman; ","Tumor angiogenesis and VEGFR-2: mechanism, pathways and current biological therapeutic interventions",Current Drug Metabolism,22,1,50-59,2021,Bentham Science Publishers
"Ejaz, Syeda Abida; Aziz, Mubashir; Fawzy Ramadan, Mohamed; Fayyaz, Ammara; Bilal, Muhammad Sajjad; ",Pharmacophore-Based Virtual Screening and In-Silico Explorations of Biomolecules (Curcumin Derivatives) of Curcuma longa as Potential Lead Inhibitors of ERBB and VEGFR-2 for the Treatment of Colorectal Cancer,Molecules,28,10,4044,2023,MDPI
"Boscolo, Elisa; Mulliken, John B; Bischoff, Joyce; ",VEGFR-1 mediates endothelial differentiation and formation of blood vessels in a murine model of infantile hemangioma,The American journal of pathology,179,5,2266-2277,2011,Elsevier
"Wang, W; Ma, Y; Li, J; Shi, HS; Wang, LQ; Guo, FC; Zhang, J; Li, D; Mo, BH; Wen, F; ",Specificity redirection by CAR with human VEGFR-1 affinity endows T lymphocytes with tumor-killing ability and anti-angiogenic potency,Gene therapy,20,10,970-978,2013,Nature Publishing Group
"Szabo, Emese; Schneider, Hannah; Seystahl, Katharina; Rushing, Elisabeth Jane; Herting, Frank; Weidner, K Michael; Weller, Michael; ",Autocrine VEGFR1 and VEGFR2 signaling promotes survival in human glioblastoma models in vitro and in vivo,Neuro-oncology,18,9,1242-1252,2016,Oxford University Press US
"Popov, Todor M; Stancheva, G; Goranova, TE; Rangachev, J; Konov, D; Todorov, S; Stoyanov, O; Kaneva, RP; Popova, D; ","Strong correlation between mRNA expression levels of HIF-2α, VEGFR1, VEGFR2 and MMP2 in laryngeal carcinoma",Pathology & Oncology Research,22,,741-746,2016,Springer
"Almasry, Shaima M; Elfayomy, Amr K; Hashem, Hala E; ","Ultrastructure and histomorphometric analysis of human umbilical cord vessels in preeclampsia: a potential role of VEGF, VEGFR-1 and VEGFR-2",Rom J Morphol Embryol,57,2 Suppl,681-9,2016,
