Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
79,"IOCM Vroegrijk, JB van Klinken, JA van Diepen, ...","CD36 is important for adipocyte recruitment and affects lipolysis",2013,"…","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/oby.20354","https://scholar.google.com/scholar?cites=1826992287831062423&as_sdt=2005&sciodt=2007&hl=en",1,"2023-07-26 12:28:32","","10.1002/oby.20354","","",,,,,79,7.90,20,4,10,"… adipocyte cell size and number in various adipose tissue depots … To measure adipocyte size, mice were fed a HFD for 6 … inflammatory markers in gonadal adipose tissue. As mentioned …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/oby.20354","https://scholar.google.com/scholar?q=related:l3eMU87HWhkJ:scholar.google.com/&scioq=%22adipocyte%22+%22diameter%22+%22size%22+%22mice%22+%22gonadal%22+%22adipose+tissue%22+%22hfd%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
74,"HR Lijnen, E Maquoi, P Holvoet, ...","Adipose tissue expression of gelatinases in mouse models of obesity",2001,"Thrombosis and …","thieme-connect.com","https://www.thieme-connect.com/products/ejournals/html/10.1055/s-0037-1615971","https://scholar.google.com/scholar?cites=3122284775368302640&as_sdt=2005&sciodt=2007&hl=en",2,"2023-07-26 12:28:32","","10.1055/s-0037-1615971","","",,,,,74,3.36,19,4,22,"… <0.01) were observed in extracts of gonadal fat pads of mice on HFD; 3) the contribution of … in adipocyte diameter and a 7-fold higher gonadal adipose tissue weight in the HFD group. …","https://www.thieme-connect.com/products/ejournals/pdf/10.1055/s-0037-1615971.pdf","https://scholar.google.com/scholar?q=related:MCBw63WVVCsJ:scholar.google.com/&scioq=%22adipocyte%22+%22diameter%22+%22size%22+%22mice%22+%22gonadal%22+%22adipose+tissue%22+%22hfd%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
303,"E Maquoi, C Munaut, A Colige, D Collen, HR Lijnen","Modulation of adipose tissue expression of murine matrix metalloproteinases and their tissue inhibitors with obesity",2002,"Diabetes","Am Diabetes Assoc","https://diabetesjournals.org/diabetes/article-abstract/51/4/1093/34612","https://scholar.google.com/scholar?cites=15648641882617622686&as_sdt=2005&sciodt=2007&hl=en",3,"2023-07-26 12:28:32","","","","",,,,,303,14.43,61,5,21,"… MMPs and TIMPs, which modulate adipocyte differentiation. … TIMPs in adipose tissue from mice maintained on HFD for 15 … In gonadal adipose tissue, the HFD did not significantly affect …","https://orbi.uliege.be/bitstream/2268/14933/1/Modulation%20of%20Adipose%20Tissue%20Expression%20of%20Murine%20Matrix%20Metalloproteinases%20and%20Their%20Tissue%20Inhibitors%20With%20Obesity.pdf","https://scholar.google.com/scholar?q=related:njC51uEkK9kJ:scholar.google.com/&scioq=%22adipocyte%22+%22diameter%22+%22size%22+%22mice%22+%22gonadal%22+%22adipose+tissue%22+%22hfd%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
74,"D Demeulemeester, D Collen, HR Lijnen","Effect of matrix metalloproteinase inhibition on adipose tissue development",2005,"Biochemical and biophysical …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0006291X05001646","https://scholar.google.com/scholar?cites=2225933769043488897&as_sdt=2005&sciodt=2007&hl=en",4,"2023-07-26 12:28:32","HTML","","","",,,,,74,4.11,25,3,18,"… (adipocyte diameter of 36 ± 2.8 or 38 ± 2.2 μm in SC or GON … ) or gonadal (GON) adipose tissue homogenates from mice … a synthetic MMP inhibitor to mice kept on HFD for 15 weeks. Ro …","https://www.sciencedirect.com/science/article/pii/S0006291X05001646","https://scholar.google.com/scholar?q=related:gTBiLfga5B4J:scholar.google.com/&scioq=%22adipocyte%22+%22diameter%22+%22size%22+%22mice%22+%22gonadal%22+%22adipose+tissue%22+%22hfd%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
118,"HR Lijnen, E Maquoi, P Morange, G Voros, ...","Nutritionally induced obesity is attenuated in transgenic mice overexpressing plasminogen activator inhibitor-1",2003,"… , and vascular biology","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/01.atv.0000044457.60665.dd","https://scholar.google.com/scholar?cites=10056546120881642200&as_sdt=2005&sciodt=2007&hl=en",5,"2023-07-26 12:28:32","","10.1161/01.atv.0000044457.60665.dd","","",,,,,118,5.90,24,5,20,"… which blocks adipocyte differentiation, and adipose tissue weight… and diameter of adipocytes in gonadal adipose tissue was … -1 mRNA in gonadal adipose tissue of Tg mice on HFD was …","https://www.ahajournals.org/doi/full/10.1161/01.atv.0000044457.60665.dd","https://scholar.google.com/scholar?q=related:2Jp7QmoHkIsJ:scholar.google.com/&scioq=%22adipocyte%22+%22diameter%22+%22size%22+%22mice%22+%22gonadal%22+%22adipose+tissue%22+%22hfd%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
103,"AD Gaudet, LK Fonken, LV Gushchina, TG Aubrecht, ...","miR-155 deletion in female mice prevents diet-induced obesity",2016,"Scientific reports","nature.com","https://www.nature.com/articles/srep22862","https://scholar.google.com/scholar?cites=11736623588453684151&as_sdt=2005&sciodt=2007&hl=en",6,"2023-07-26 12:28:32","HTML","","","",,,,,103,14.71,21,5,7,"… HFD) gained 56% less body weight and 74% less gonadal white adipose tissue (WAT) than WT mice… Obesity protection in miR-155 KO mice was likely due to altered adipocyte …","https://www.nature.com/articles/srep22862","https://scholar.google.com/scholar?q=related:t5NAbPjc4KIJ:scholar.google.com/&scioq=%22adipocyte%22+%22diameter%22+%22size%22+%22mice%22+%22gonadal%22+%22adipose+tissue%22+%22hfd%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
191,"L Hussaarts, N García‐Tardón, L van Beek, ...","Chronic helminth infection and helminth‐derived egg antigens promote adipose tissue M2 macrophages and improve insulin sensitivity in obese mice",2015,"The FASEB …","drive.google.com","https://drive.google.com/file/d/1RA1xabqZKLVVGFHMc9nyrmK2X3UfOMNP/view","https://scholar.google.com/scholar?cites=6473425588949902619&as_sdt=2005&sciodt=2007&hl=en",7,"2023-07-26 12:28:32","PDF","","","",,,,,191,23.88,48,4,8,"… -free setting, we treated HFD-fed mice with SEA for 4 weeks and … The adipocyte size distribution, mean adipocyte diameter … in HFD-fed mice, an effect particularly clear in gonadal …","https://drive.google.com/file/d/1RA1xabqZKLVVGFHMc9nyrmK2X3UfOMNP/view","https://scholar.google.com/scholar?q=related:G2VIhUY61lkJ:scholar.google.com/&scioq=%22adipocyte%22+%22diameter%22+%22size%22+%22mice%22+%22gonadal%22+%22adipose+tissue%22+%22hfd%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
313,"SW Qian, Y Tang, X Li, Y Liu, ...","BMP4-mediated brown fat-like changes in white adipose tissue alter glucose and energy homeostasis",2013,"Proceedings of the …","National Acad Sciences","https://www.pnas.org/doi/abs/10.1073/pnas.1215236110","https://scholar.google.com/scholar?cites=10153479586908564705&as_sdt=2005&sciodt=2007&hl=en",8,"2023-07-26 12:28:32","","10.1073/pnas.1215236110","","",,,,,313,31.30,63,5,10,"… , gonadal WAT, and BAT from WT and TG mice. (Scale bar: 20 μm.) (G) Quantification of adipocyte diameter of inguinal WAT, gonadal … mice increased in size upon exposure to the HFD, …","https://www.pnas.org/doi/full/10.1073/pnas.1215236110","https://scholar.google.com/scholar?q=related:4Wzdi-Nn6IwJ:scholar.google.com/&scioq=%22adipocyte%22+%22diameter%22+%22size%22+%22mice%22+%22gonadal%22+%22adipose+tissue%22+%22hfd%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
22,"YA Ahn, H Baek, M Choi, J Park, SJ Son, HJ Seo, ...","Adipogenic effects of prenatal exposure to bisphenol S (BPS) in adult F1 male mice",2020,"Science of The Total …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0048969720322762","https://scholar.google.com/scholar?cites=15997860675359052967&as_sdt=2005&sciodt=2007&hl=en",9,"2023-07-26 12:28:32","HTML","","","",,,,,22,7.33,3,7,3,"… Adipocyte area and diameter were determined using the “count” … on adipocyte hypertrophy in the gonadal white adipose tissue (gWAT) in F1 male mice administered a high-fat diet (HFD…","https://www.sciencedirect.com/science/article/pii/S0048969720322762","https://scholar.google.com/scholar?q=related:p5T3IIbRA94J:scholar.google.com/&scioq=%22adipocyte%22+%22diameter%22+%22size%22+%22mice%22+%22gonadal%22+%22adipose+tissue%22+%22hfd%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
145,"HR Lijnen, E Maquoi, LB Hansen, ...","Matrix metalloproteinase inhibition impairs adipose tissue development in mice",2002,"… , and vascular biology","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/hq0302.104522","https://scholar.google.com/scholar?cites=6880639390092780174&as_sdt=2005&sciodt=2007&hl=en",10,"2023-07-26 12:28:32","","10.1161/hq0302.104522","","",,,,,145,6.90,36,4,21,"… isolated subcutaneous (SC) or gonadal (GON) fat deposits was … MMP-2 was suggested to play a role in adipocyte clustering, … mice on the HFD compared with wild-type mice on the HFD …","https://www.ahajournals.org/doi/full/10.1161/hq0302.104522","https://scholar.google.com/scholar?q=related:jmIK8hHxfF8J:scholar.google.com/&scioq=%22adipocyte%22+%22diameter%22+%22size%22+%22mice%22+%22gonadal%22+%22adipose+tissue%22+%22hfd%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
