Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
88,"H Lee, D Park, M Yoon","Korean red ginseng (Panax ginseng) prevents obesity by inhibiting angiogenesis in high fat diet-induced obese C57BL/6J mice",2013,"Food and Chemical Toxicology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0278691512008599","https://scholar.google.com/scholar?cites=6002685093888132377&as_sdt=2005&sciodt=2007&hl=en",1,"2023-07-13 17:55:37","HTML","","","",,,,,88,8.80,29,3,10,"… we studied the effects of ginseng on blood vessel density in adipose tissue. Staining of VSC and … cell marker, showed that blood vessel density was higher in HFD-fed mice compared to …","https://www.sciencedirect.com/science/article/pii/S0278691512008599","https://scholar.google.com/scholar?q=related:GQW8D0rSTVMJ:scholar.google.com/&scioq=%22vessel+density%22+%22hfd%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1900&as_yhi=2023"
2,"N Duansak, GW Schmid-Schönbein, ...","Anti-obesity effect of rice bran extract on high-fat diet-induced obese mice",2022,"… Nutrition and Food …","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9309069/","https://scholar.google.com/scholar?cites=12960016196917091642&as_sdt=2005&sciodt=2007&hl=en",2,"2023-07-13 17:55:37","HTML","","","",,,,,2,2.00,1,3,1,"… In addition to body weight, adipose tissue mass, and vessel density, we … vessel density, labeling in VSC and SC adipose tissue was higher in HFD-fed mice compared to the control mice…","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9309069/","https://scholar.google.com/scholar?q=related:Ol2N5BA627MJ:scholar.google.com/&scioq=%22vessel+density%22+%22hfd%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1900&as_yhi=2023"
93,"HR Lijnen, D Demeulemeester, ...","Deficiency of tissue inhibitor of matrix metalloproteinase-1 (TIMP-1) impairs nutritionally induced obesity in mice",2003,"Thrombosis and …","thieme-connect.com","https://www.thieme-connect.com/products/ejournals/html/10.1055/s-0037-1613439","https://scholar.google.com/scholar?cites=11657382609986399474&as_sdt=2005&sciodt=2007&hl=en",3,"2023-07-13 17:55:37","","10.1055/s-0037-1613439","","",,,,,93,4.65,31,3,20,"… areas, vessel size and vessel density in TIMP-1–/– mice on HFD as compared to TIMP-1+/+ … In the present study, we have observed a significantly higher blood vessel density and size …","https://www.thieme-connect.com/products/ejournals/pdf/10.1055/s-0037-1613439.pdf","https://scholar.google.com/scholar?q=related:8iwOZ7hXx6EJ:scholar.google.com/&scioq=%22vessel+density%22+%22hfd%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1900&as_yhi=2023"
79,"E Maquoi, D Demeulemeester, G Vörös, ...","Enhanced nutritionally induced adipose tissue development in mice with stromelysin-1 gene inactivation",2003,"Thrombosis and …","thieme-connect.com","https://www.thieme-connect.com/products/ejournals/html/10.1055/s-0037-1613586","https://scholar.google.com/scholar?cites=13188344484266681739&as_sdt=2005&sciodt=2007&hl=en",4,"2023-07-13 17:55:37","","10.1055/s-0037-1613586","","",,,,,79,3.95,20,4,20,"… blood vessel density and larger total stained area in the GON adipose tissues of MMP-3-/- mice.… (A) Body weight of mice kept on HFD during 15 weeks (n = 11 and 8). (B) Weight gain …","https://www.thieme-connect.com/products/ejournals/pdf/10.1055/s-0037-1613586.pdf","https://scholar.google.com/scholar?q=related:i6UyAG9pBrcJ:scholar.google.com/&scioq=%22vessel+density%22+%22hfd%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1900&as_yhi=2023"
46,"H Lee, J Choi, SS Shin, M Yoon","Effects of Korean red ginseng (Panax ginseng) on obesity and adipose inflammation in ovariectomized mice",2016,"Journal of ethnopharmacology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0378874115302701","https://scholar.google.com/scholar?cites=16316882292428228005&as_sdt=2005&sciodt=2007&hl=en",5,"2023-07-13 17:55:37","HTML","","","",,,,,46,6.57,12,4,7,"… mice fed a HFD supplemented with ginseng. Ginseng treatment also decreased blood vessel density… studied the effects of ginseng on blood vessel density in adipose tissue. Staining of …","https://www.sciencedirect.com/science/article/pii/S0378874115302701","https://scholar.google.com/scholar?q=related:pcULkv41ceIJ:scholar.google.com/&scioq=%22vessel+density%22+%22hfd%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1900&as_yhi=2023"
18,"OF Elabi, JPMCM Cunha, ...","High-fat diet-induced diabetes leads to vascular alterations, pericyte reduction, and perivascular depletion of microglia in a 6-OHDA toxin model of Parkinson …",2021,"Journal of …","jneuroinflammation.biomedcentral …","https://jneuroinflammation.biomedcentral.com/articles/10.1186/s12974-021-02218-8","https://scholar.google.com/scholar?cites=13057733131694438792&as_sdt=2005&sciodt=2007&hl=en",6,"2023-07-13 17:55:37","HTML","10.1186/s12974-021-02218-8","","",,,,,18,9.00,6,3,2,"… In sham mice, HFD significantly increased the vessel density and branching compared to … of the proportion of pericyte density to vessel density in HFD compared to the CTRL diet, …","https://jneuroinflammation.biomedcentral.com/articles/10.1186/s12974-021-02218-8","https://scholar.google.com/scholar?q=related:iPl-thljNrUJ:scholar.google.com/&scioq=%22vessel+density%22+%22hfd%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1900&as_yhi=2023"
64,"HR Lijnen, L Frederix, B Van Hoef","Fumagillin reduces adipose tissue formation in murine models of nutritionally induced obesity",2010,"Obesity","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1038/oby.2009.503","https://scholar.google.com/scholar?cites=3772391433047071490&as_sdt=2005&sciodt=2007&hl=en",7,"2023-07-13 17:55:37","","10.1038/oby.2009.503","","",,,,,64,4.92,21,3,13,"… of mice in group 1, associated with higher adipocyte density. Blood vessel density normalized to … Five-week-old male wild-type C57Bl/6 mice were kept on HFD for 15 weeks to establish …","https://onlinelibrary.wiley.com/doi/pdf/10.1038/oby.2009.503","https://scholar.google.com/scholar?q=related:Alt_eAU6WjQJ:scholar.google.com/&scioq=%22vessel+density%22+%22hfd%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1900&as_yhi=2023"
298,"HK Sung, KO Doh, JE Son, JG Park, Y Bae, S Choi, ...","Adipose vascular endothelial growth factor regulates metabolic homeostasis through angiogenesis",2013,"Cell metabolism","cell.com","https://www.cell.com/cell-metabolism/pdf/S1550-4131(12)00501-3.pdf","https://scholar.google.com/scholar?cites=2786518544591088645&as_sdt=2005&sciodt=2007&hl=en",8,"2023-07-13 17:55:37","PDF","","","",,,,,298,29.80,43,7,10,"… modified mice in which adipose-specific blood vessel density is … We show that mice selectively deficient for adipose VEGF … reversal of metabolic morbidities caused by HFD. In these …","https://www.cell.com/cell-metabolism/pdf/S1550-4131(12)00501-3.pdf","https://scholar.google.com/scholar?q=related:BexjStqzqyYJ:scholar.google.com/&scioq=%22vessel+density%22+%22hfd%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1900&as_yhi=2023"
36,"HR Lijnen, MC Alessi, L Frederix, ...","Tiplaxtinin impairs nutritionally induced obesity in mice",2006,"Thrombosis and …","thieme-connect.com","https://www.thieme-connect.com/products/ejournals/html/10.1160/TH06-08-0422","https://scholar.google.com/scholar?cites=6699677496403631536&as_sdt=2005&sciodt=2007&hl=en",9,"2023-07-13 17:55:37","","10.1160/TH06-08-0422","","",,,,,36,2.12,9,4,17,"… mice reduced adiposity and improved the metabolic profile (11). Another study reported that PAI-1-deficient mice on a HFD … vessels, and blood vessel density was expressed as the …","https://www.thieme-connect.com/products/ejournals/pdf/10.1160/TH06-08-0422.pdf","https://scholar.google.com/scholar?q=related:sB3Rwi8J-lwJ:scholar.google.com/&scioq=%22vessel+density%22+%22hfd%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1900&as_yhi=2023"
0,"TT Phan, A Chakraborty, MA Tatum, ...","Increased adipose tissue lymphatic vessel density inhibits thermogenesis through elevated neurotensin levels",2023,"Frontiers in Cell and …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fcell.2023.1100788/full","",10,"2023-07-13 17:55:37","HTML","10.3389/fcell.2023.1100788","","",,,,,0,0.00,0,4,1,"… from Control and AdipoVD mice on HFD. (A–E) n = 10 control/n = 7 AdipoVD. Bars = 50 µm. … response in AdipoVD mice, we performed acute cold exposure experiments at 4C. AdipoVD …","https://www.frontiersin.org/articles/10.3389/fcell.2023.1100788/full","https://scholar.google.com/scholar?q=related:uYFD7fyOu6cJ:scholar.google.com/&scioq=%22vessel+density%22+%22hfd%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1900&as_yhi=2023"
4,"KA Byun, S Oh, M Son, CH Park, KH Son, K Byun","Dieckol decreases caloric intake and attenuates nonalcoholic fatty liver disease and hepatic lymphatic vessel dysfunction in high-fat-diet-fed mice",2021,"Marine Drugs","mdpi.com","https://www.mdpi.com/1660-3397/19/9/495","https://scholar.google.com/scholar?cites=17641821742777843779&as_sdt=2005&sciodt=2007&hl=en",11,"2023-07-13 17:55:37","","","","",,,,,4,2.00,1,6,2,"… vessel density of the livers of HFD-fed mice was significantly higher than NFD-fed mice. This … of the livers of HFD-fed mice was significantly higher than NFD-fed mice. That expression …","https://www.mdpi.com/1660-3397/19/9/495/pdf","https://scholar.google.com/scholar?q=related:Q0AJmWdX1PQJ:scholar.google.com/&scioq=%22vessel+density%22+%22hfd%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1900&as_yhi=2023"
35,"YS Park, AE David, Y Huang, JB Park, H He, ...","In vivo delivery of cell-permeable antisense hypoxia-inducible factor 1α oligonucleotide to adipose tissue reduces adiposity in obese mice",2012,"Journal of controlled …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0168365912002672","https://scholar.google.com/scholar?cites=17247251795585141379&as_sdt=2005&sciodt=2007&hl=en",12,"2023-07-13 17:55:37","HTML","","","",,,,,35,3.18,6,6,11,"… This pattern was reversed in the AL-treated groups, which displayed a decrease in blood vessel density compared to the AL-untreated HFD group. This study presents the first in vivo …","https://www.sciencedirect.com/science/article/pii/S0168365912002672","https://scholar.google.com/scholar?q=related:gwqS0yCMWu8J:scholar.google.com/&scioq=%22vessel+density%22+%22hfd%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1900&as_yhi=2023"
72,"GE Hespe, RP Kataru, IL Savetsky, ...","Exercise training improves obesity‐related lymphatic dysfunction",2016,"The Journal of …","Wiley Online Library","https://physoc.onlinelibrary.wiley.com/doi/abs/10.1113/JP271757","https://scholar.google.com/scholar?cites=4780274581341462776&as_sdt=2005&sciodt=2007&hl=en",13,"2023-07-13 17:55:37","","10.1113/JP271757","","",,,,,72,10.29,18,4,7,"… Here, we show that aerobic exercise training of high-fat diet (HFD)-induced obese mice … function and normalization in lymphatic vessel density in aerobic exercise mice are regulated, at …","https://physoc.onlinelibrary.wiley.com/doi/pdf/10.1113/JP271757","https://scholar.google.com/scholar?q=related:-OCvnWfyVkIJ:scholar.google.com/&scioq=%22vessel+density%22+%22hfd%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1900&as_yhi=2023"
