Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
137,"KS Blum, S Karaman, ST Proulx, AM Ochsenbein, ...","Chronic high-fat diet impairs collecting lymphatic vessel function in mice",2014,"PloS one","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0094713","https://scholar.google.com/scholar?cites=16352925850235201337&as_sdt=2005&sciodt=2007&hl=en",1,"2023-07-14 10:31:19","HTML","","","",,,,,137,15.22,27,5,9,"… image analyses (J) revealed a reduction of the average dermal lymphatic vessel size, but not blood vessel size, after HFD. Scale bars = 100 μm. Data represent mean ± SD. *…","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0094713","https://scholar.google.com/scholar?q=related:OWeSVWtD8eIJ:scholar.google.com/&scioq=%22vessel+size%22+%22hfd%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
34,"B Hemmeryckx, U Himmelreich, MF Hoylaerts, ...","Impact of Clock Gene Bmal1 Deficiency on Nutritionally Induced Obesity in Mice",2011,"…","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1038/oby.2010.266","https://scholar.google.com/scholar?cites=17942830490821671007&as_sdt=2005&sciodt=2007&hl=en",2,"2023-07-14 10:31:19","","10.1038/oby.2010.266","","",,,,,34,2.83,9,4,12,"… , whereas at the start and the end of the HFD feeding no differences were observed … of HFD, adipocyte and blood vessel size and density were similar for Bmal1 +/+ and Bmal1 −/− mice. …","https://onlinelibrary.wiley.com/doi/pdf/10.1038/oby.2010.266","https://scholar.google.com/scholar?q=related:Xzh5JkS9AfkJ:scholar.google.com/&scioq=%22vessel+size%22+%22hfd%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
93,"HR Lijnen, D Demeulemeester, ...","Deficiency of tissue inhibitor of matrix metalloproteinase-1 (TIMP-1) impairs nutritionally induced obesity in mice",2003,"Thrombosis and …","thieme-connect.com","https://www.thieme-connect.com/products/ejournals/html/10.1055/s-0037-1613439","https://scholar.google.com/scholar?cites=11657382609986399474&as_sdt=2005&sciodt=2007&hl=en",3,"2023-07-14 10:31:19","","10.1055/s-0037-1613439","","",,,,,93,4.65,31,3,20,"… Staining with an endothelial cell specific lectin revealed a significantly higher blood vessel density, larger stained area and vessel size in adipose tissue of TIMP-1–/– mice on HFD. This …","https://www.thieme-connect.com/products/ejournals/pdf/10.1055/s-0037-1613439.pdf","https://scholar.google.com/scholar?q=related:8iwOZ7hXx6EJ:scholar.google.com/&scioq=%22vessel+size%22+%22hfd%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
13,"E Gousopoulos, S Karaman, ST Proulx, K Leu, ...","High-fat diet in the absence of obesity does not aggravate surgically induced lymphoedema in mice",2017,"European surgical …","karger.com","https://karger.com/esr/article/58/3-4/180/128471","https://scholar.google.com/scholar?cites=4732795211806388373&as_sdt=2005&sciodt=2007&hl=en",4,"2023-07-14 10:31:19","","","","",,,,,13,2.17,3,5,6,"… Results: HFD increased baseline angiogenesis and average lymphatic vessel size in comparison to the chow control group. Upon induction of lymphedema, HFD-treated mice did not …","https://www.zora.uzh.ch/id/eprint/177007/1/document.pdf","https://scholar.google.com/scholar?q=related:lbBjcitErkEJ:scholar.google.com/&scioq=%22vessel+size%22+%22hfd%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
64,"HR Lijnen, L Frederix, B Van Hoef","Fumagillin reduces adipose tissue formation in murine models of nutritionally induced obesity",2010,"Obesity","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1038/oby.2009.503","https://scholar.google.com/scholar?cites=3772391433047071490&as_sdt=2005&sciodt=2007&hl=en",5,"2023-07-14 10:31:19","","10.1038/oby.2009.503","","",,,,,64,4.92,21,3,13,"… to pair-fed controls (except for a larger blood vessel size in GON fat). Mice fed the HFD ad libitum had significantly lower blood vessel size and density (Table 3). The number of blood …","https://onlinelibrary.wiley.com/doi/pdf/10.1038/oby.2009.503","https://scholar.google.com/scholar?q=related:Alt_eAU6WjQJ:scholar.google.com/&scioq=%22vessel+size%22+%22hfd%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
36,"HR Lijnen, MC Alessi, L Frederix, ...","Tiplaxtinin impairs nutritionally induced obesity in mice",2006,"Thrombosis and …","thieme-connect.com","https://www.thieme-connect.com/products/ejournals/html/10.1160/TH06-08-0422","https://scholar.google.com/scholar?cites=6699677496403631536&as_sdt=2005&sciodt=2007&hl=en",6,"2023-07-14 10:31:19","","10.1160/TH06-08-0422","","",,,,,36,2.12,9,4,17,"… /ob mice reduced adiposity and improved the metabolic profile (11). Another study reported that PAI-1-deficient mice on a HFD … In this study, the blood vessel size in the inhibitor-treated …","https://www.thieme-connect.com/products/ejournals/pdf/10.1160/TH06-08-0422.pdf","https://scholar.google.com/scholar?q=related:sB3Rwi8J-lwJ:scholar.google.com/&scioq=%22vessel+size%22+%22hfd%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
143,"M Sawane, K Kajiya, H Kidoya, M Takagi, ...","Apelin inhibits diet-induced obesity by enhancing lymphatic and blood vessel integrity",2013,"Diabetes","Am Diabetes Assoc","https://diabetesjournals.org/diabetes/article-abstract/62/6/1970/15686","https://scholar.google.com/scholar?cites=11294370519974799227&as_sdt=2005&sciodt=2007&hl=en",7,"2023-07-14 10:31:19","","","","",,,,,143,14.30,29,5,10,"… In other studies, WT and KO mice fed the same HFD were further divided into two groups (n … the number of macrophages and the average vessel size in the dermis and in the mesenteric …","https://diabetesjournals.org/diabetes/article/62/6/1970/15686","https://scholar.google.com/scholar?q=related:e-e91CWqvZwJ:scholar.google.com/&scioq=%22vessel+size%22+%22hfd%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
15,"HR Lijnen, B Van Hoef, D Kemp, D Collen","Inhibition of vascular endothelial growth factor receptor tyrosine kinases impairs adipose tissue development in mouse models of obesity",2007,"Biochimica et Biophysica Acta …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0304416507001249","https://scholar.google.com/scholar?cites=11320653594086320769&as_sdt=2005&sciodt=2007&hl=en",8,"2023-07-14 10:31:19","HTML","","","",,,,,15,0.94,4,4,16,"… Oral administration of PTK787 for 4 weeks (2 mg/g high fat diet, HFD) to C57Bl/6 mice … (2 mg/g HFD for 4 weeks), without associated effect on blood vessel size or density. Thus, in …","https://www.sciencedirect.com/science/article/pii/S0304416507001249","https://scholar.google.com/scholar?q=related:garD5HYKG50J:scholar.google.com/&scioq=%22vessel+size%22+%22hfd%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
10,"L Geys, I Scroyen, E Roose, K Vanhoorelbeke, ...","ADAMTS13 deficiency in mice does not affect adipose tissue development",2015,"… et Biophysica Acta (BBA …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0304416515000884","https://scholar.google.com/scholar?cites=6670550328849225268&as_sdt=2005&sciodt=2007&hl=en",9,"2023-07-14 10:31:19","HTML","","","",,,,,10,1.25,2,5,8,"… Quantitative analysis of blood vessel size and density in SC and GN adipose tissues of WT and Adamts13 −/− mice on HFD revealed a few significant differences for obese Adamts13 −/…","https://www.sciencedirect.com/science/article/pii/S0304416515000884","https://scholar.google.com/scholar?q=related:NFZsly6OklwJ:scholar.google.com/&scioq=%22vessel+size%22+%22hfd%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
23,"M Van Hul, L Frederix, HR Lijnen","Role of thrombospondin‐2 in murine adipose tissue angiogenesis and development",2012,"Obesity","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1038/oby.2011.260","https://scholar.google.com/scholar?cites=7762658375488730570&as_sdt=2005&sciodt=2007&hl=en",10,"2023-07-14 10:31:19","","10.1038/oby.2011.260","","",,,,,23,2.09,8,3,11,"… mice on SFD or HFD. The data represent average contributions in the total number of blood vessels of blood vessel size … of the mice used in this study, weight gain upon HFD feeding for …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1038/oby.2011.260","https://scholar.google.com/scholar?q=related:ynW3B6qAumsJ:scholar.google.com/&scioq=%22vessel+size%22+%22hfd%22+%22mice%22&hl=en&as_sdt=2007&as_ylo=1950&as_yhi=2023"
