Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,Note
"Yttersian Sletta, Kristine; Tveitarås, Maria K; Lu, Ning; Engelsen, Agnete ST; Reed, Rolf K; Garmann-Johnsen, Annette; Stuhr, Linda; ",Oxygen-dependent regulation of tumor growth and metastasis in human breast cancer xenografts,PloS one,12,8,e0183254,2017,"Public Library of Science San Francisco, CA USA",Read
"Cai, Weibo; Chen, Kai; Mohamedali, Khalid A; Cao, Qizhen; Gambhir, Sanjiv S; Rosenblum, Michael G; Chen, Xiaoyuan; ",PET of vascular endothelial growth factor receptor expression,Journal of Nuclear Medicine,47,12,2048-2056,2006,Soc Nuclear Med,Read
"Zhou, Zhichao; Zhou, Rong-Rong; Guan, Hui; Bucana, Corazon D; Kleinerman, Eugenie S; ",E1A gene therapy inhibits angiogenesis in a Ewing's sarcoma animal model,Molecular cancer therapeutics,2,12,1313-1319,2003,AACR,Pass-no unit
"Klotzsche-von Ameln, Anne; Prade, Ina; Grosser, Marianne; Kettelhake, Antje; Rezaei, Maryam; Chavakis, Triantafyllos; Flamme, Ingo; Wielockx, Ben; Breier, Georg; ",PHD4 stimulates tumor angiogenesis in osteosarcoma cells via TGF-α,Molecular cancer research,11,11,1337-1348,2013,AACR,Pass-no unit
"Li, Hongzhong; Xiao, Yi; Li, Qin; Yao, Jun; Yuan, Xiangliang; Zhang, Yuan; Yin, Xuedong; Saito, Yohei; Fan, Huihui; Li, Ping; ",The allergy mediator histamine confers resistance to immunotherapy in cancer patients via activation of the macrophage histamine receptor H1,Cancer cell,40,1,36-52. e9,2022,Elsevier,Pass
"Bieniasz-Krzywiec, Paweł; Martín-Pérez, Rosa; Ehling, Manuel; García-Caballero, Melissa; Pinioti, Sotiria; Pretto, Samantha; Kroes, Roel; Aldeni, Chiara; Di Matteo, Mario; Prenen, Hans; ",Podoplanin-expressing macrophages promote lymphangiogenesis and lymphoinvasion in breast cancer,Cell metabolism,30,5,917-936. e10,2019,Elsevier,Pass
"Zielinski, Mark R; Muenchow, Melissa; Wallig, Matthew A; Horn, Peggy L; Woods, Jeffrey A; ",Exercise delays allogeneic tumor growth and reduces intratumoral inflammation and vascularization,Journal of applied physiology,96,6,2249-2256,2004,American Physiological Society,
"Tai, Kuo-Feng; Wang, Chien-Hsing; ",Using adenovirus armed short hairpin RNA targeting transforming growth factor β1 inhibits melanoma growth and metastasis in an ex vivo animal model,Annals of Plastic Surgery,71,,S75-S81,2013,LWW,Cannot access
"Gopinathan, Ganga; Milagre, Carla; Pearce, Oliver MT; Reynolds, Louise E; Hodivala-Dilke, Kairbaan; Leinster, David A; Zhong, Haihong; Hollingsworth, Robert E; Thompson, Richard; Whiteford, James R; ",Interleukin-6 stimulates defective angiogenesis,Cancer research,75,15,3098-3107,2015,AACR,Pass
"Wong, Ping-Pui; Muñoz-Félix, José M; Hijazi, Maruan; Kim, Hyojin; Robinson, Stephen D; De Luxán-Delgado, Beatriz; Rodríguez-Hernández, Irene; Maiques, Oscar; Meng, Ya-Ming; Meng, Qiong; ",Cancer burden is controlled by mural cell-β3-integrin regulated crosstalk with tumor cells,Cell,181,6,1346-1363. e21,2020,Elsevier,
"Wang, Yugang; Alam, Goleeta N; Ning, Yu; Visioli, Fernanda; Dong, Zhihong; Nör, Jacques E; Polverini, Peter J; ",The unfolded protein response induces the angiogenic switch in human tumor cells through the PERK/ATF4 pathway,Cancer research,72,20,5396-5406,2012,AACR,Pass-no unit
"Phan, Chiuyen; Zheng, Ziyang; Wang, Jianwei; Wang, Qiwen; Hu, Xiurong; Tang, Guping; Bai, Hongzhen; ",Enhanced antitumour effect for hepatocellular carcinoma in the advanced stage using a cyclodextrin-sorafenib-chaperoned inclusion complex,Biomaterials science,7,11,4758-4768,2019,Royal Society of Chemistry,Pass
"Kanwar, Jagat R; Palmano, Kate P; Sun, Xueying; Kanwar, Rupinder K; Gupta, Rita; Haggarty, Neill; Rowan, Angela; Ram, Satyendra; Krissansen, Geoffrey W; ",‘Iron‐saturated’lactoferrin is a potent natural adjuvant for augmenting cancer chemotherapy,Immunology and cell biology,86,3,277-288,2008,Wiley Online Library,Pass-no unit
"Wei, Yan; Song, Sha; Duan, Nianxiu; Wang, Feng; Wang, Yuxi; Yang, Yiwei; Peng, Chengyuan; Li, Junjun; Nie, Di; Zhang, Xinxin; ",MT1‐MMP‐Activated Liposomes to Improve Tumor Blood Perfusion and Drug Delivery for Enhanced Pancreatic Cancer Therapy,Advanced Science,7,17,1902746,2020,Wiley Online Library,Pass
"Hoshida, Tohru; Isaka, Naohide; Hagendoorn, Jeroen; di Tomaso, Emmanuelle; Chen, Yen-Lin; Pytowski, Bronislaw; Fukumura, Dai; Padera, Timothy P; Jain, Rakesh K; ",Imaging steps of lymphatic metastasis reveals that vascular endothelial growth factor-C increases metastasis by increasing delivery of cancer cells to lymph nodes: therapeutic implications,Cancer research,66,16,8065-8075,2006,AACR,Pass
"Russell, Samantha; Duquette, Mark; Liu, Joyce; Drapkin, Ronny; Lawler, Jack; Petrik, Jim; ",Combined therapy with thrombospondin-1 type I repeats (3TSR) and chemotherapy induces regression and significantly improves survival in a preclinical model of advanced stage epithelial ovarian cancer,The FASEB Journal,29,2,576,2015,The Federation of American Societies for Experimental Biology,Pass-no unit
"Roy-Luzarraga, Marina; Reynolds, Louise E; de Luxán-Delgado, Beatriz; Maiques, Oscar; Wisniewski, Laura; Newport, Emma; Rajeeve, Vinothini; Drake, Rebecca JG; Gómez-Escudero, Jesús; Richards, Frances M; ",Suppression of endothelial cell FAK expression reduces pancreatic ductal adenocarcinoma metastasis after gemcitabine treatment,Cancer Research,82,10,1909-1925,2022,AACR,Pass-no unit
"Olson, Karen A; Byers, H Randolph; Key, Marc E; Fett, James W; ",Inhibition of prostate carcinoma establishment and metastatic growth in mice by an antiangiogenin monoclonal antibody,International journal of cancer,98,6,923-929,2002,Wiley Online Library,Pass-no unit
"Gayed, Bishoy A; O’Malley, Katherine J; Pilch, Jan; Wang, Zhou; ",Digoxin inhibits blood vessel density and HIF‐1a expression in castration‐resistant C4‐2 xenograft prostate tumors,Clinical and translational science,5,1,39-42,2012,Wiley Online Library,Pass-no unit
"Liu, Bing; Goodwin, Julie E; ",The effect of glucocorticoids on angiogenesis in the treatment of solid tumors,Journal of cellular signaling,1,3,42,2020,NIH Public Access,Review
"Tamura, Kaoru; Aoyagi, Masaru; Ando, Noboru; Ogishima, Takahiro; Wakimoto, Hiroaki; Yamamoto, Masaaki; Ohno, Kikuo; ",Expansion of CD133-positive glioma cells in recurrent de novo glioblastomas after radiotherapy and chemotherapy,Journal of neurosurgery,119,5,1145-1155,2013,American Association of Neurological Surgeons,Human
"Tavora, Bernardo; Reynolds, Louise E; Batista, Silvia; Demircioglu, Fevzi; Fernandez, Isabelle; Lechertier, Tanguy; Lees, Delphine M; Wong, Ping-Pui; Alexopoulou, Annika; Elia, George; ",Endothelial-cell FAK targeting sensitizes tumours to DNA-damaging therapy,Nature,514,7520,112-116,2014,Nature Publishing Group UK London,
"Demircioglu, Fevzi; Wang, Jun; Candido, Juliana; Costa, Ana SH; Casado, Pedro; de Luxan Delgado, Beatriz; Reynolds, Louise E; Gomez-Escudero, Jesus; Newport, Emma; Rajeeve, Vinothini; ",Cancer associated fibroblast FAK regulates malignant cell metabolism,Nature communications,11,1,1290,2020,Nature Publishing Group UK London,
"Liang, Yayun; Benakanakere, Indira; Besch-Williford, Cynthia; Hyder, Ryyan S; Ellersieck, Mark R; Hyder, Salman M; ",Synthetic progestins induce growth and metastasis of BT-474 human breast cancer xenografts in nude mice,"Menopause (New York, NY)",17,5,1040,2010,NIH Public Access,Pass-no unit
"Fan, Peng; Qiang, Huiping; Liu, Zhenhua; Zhao, Qi; Wang, Ying; Liu, Tingkun; Wang, Xuan; Chu, Tianqing; Huang, Yuhui; Xu, Wei; ",Effective low-dose Anlotinib induces long-term tumor vascular normalization and improves anti-PD-1 therapy,Frontiers in Immunology,13,,937924,2022,Frontiers,Pass-no unit
"Kienast, Yvonne; Klein, Christian; Scheuer, Werner; Raemsch, Romi; Lorenzon, Erica; Bernicke, Dirk; Herting, Frank; Yu, Sidney; The, Huynh Hung; Martarello, Laurent; ","Ang-2-VEGF-A CrossMab, a novel bispecific human IgG1 antibody blocking VEGF-A and Ang-2 functions simultaneously, mediates potent antitumor, antiangiogenic, and antimetastatic efficacy",Clinical Cancer Research,19,24,6730-6740,2013,AACR,Pass-no unit
"Liao, Junbin; Jin, Huilin; Li, Shaoqiang; Xu, Lixia; Peng, Zhenwei; Wei, Guangyan; Long, Jianting; Guo, Yu; Kuang, Ming; Zhou, Qi; ",Apatinib potentiates irradiation effect via suppressing PI3K/AKT signaling pathway in hepatocellular carcinoma,Journal of Experimental & Clinical Cancer Research,38,,13-Jan,2019,Springer,Pass
"Omene, Coral; Bandera, Elisa V; ",Anti-VEGF therapy—a role in obesity-related breast cancer,Nature reviews. Endocrinology,14,6,329,2018,NIH Public Access,Review
"Feng, Bing; Zhou, Fangyuan; Wang, Dangge; Xu, Zhiai; Yu, Haijun; Li, Yaping; ",Gold nanomaterials for treatment of metastatic cancer,Science China Chemistry,59,,984-990,2016,Springer,Review
"Yin, Juan Juan; Zhang, Luhua; Munasinghe, Jeeva; Linnoila, R Ilona; Kelly, Kathleen; ",Cediranib/AZD2171 inhibits bone and brain metastasis in a preclinical model of advanced prostate cancer,Cancer research,70,21,8662-8673,2010,AACR,Pass-no unit
"Sloan, Erica K; Priceman, Saul J; Cox, Benjamin F; Yu, Stephanie; Pimentel, Matthew A; Tangkanangnukul, Veera; Arevalo, Jesusa MG; Morizono, Kouki; Karanikolas, Breanne DW; Wu, Lily; ",The sympathetic nervous system induces a metastatic switch in primary breast cancer,Cancer research,70,18,7042-7052,2010,AACR,Pass-no unit
"El-Salhy, Magdy; Hilding, L; Royson, H; Tjomsland, Veronica; ","Comparison between triple therapy with octreotide, galanin and serotonin vs. irinotecan or oxaliplatin in combination with 5-fluorouracil/leukovorin in human colon cancer",International journal of oncology,27,3,687-691,2005,Spandidos Publications,Cannot access
"Yumimoto, Kanae; Akiyoshi, Sayuri; Ueo, Hiroki; Sagara, Yasuaki; Onoyama, Ichiro; Ueo, Hiroaki; Ohno, Shinji; Mori, Masaki; Mimori, Koshi; Nakayama, Keiichi I; ",F-box protein FBXW7 inhibits cancer metastasis in a non-cell-autonomous manner,The Journal of clinical investigation,125,2,621-635,2015,Am Soc Clin Investig,Pass
"Liang, Yayun; Mafuvadze, Benford; Besch-Williford, Cynthia; Hyder, Salman M; ",A combination of p53-activating APR-246 and phosphatidylserine-targeting antibody potently inhibits tumor development in hormone-dependent mutant p53-expressing breast cancer xenografts,Breast Cancer: Targets and Therapy,,,53-67,2018,Taylor & Francis,Pass-no unit
"Baeriswyl, Vanessa; Christofori, Gerhard; ",The angiogenic switch in carcinogenesis,Seminars in cancer biology,19,5,329-337,2009,Elsevier,Review
"McElroy, Michele K; Kaushal, Sharmeela; Tran Cao, Hop S; Moossa, AR; Talamini, Mark A; Hoffman, Robert M; Bouvet, Michael; ",Upregulation of thrombospondin-1 and angiogenesis in an aggressive human pancreatic cancer cell line selected for high metastasis,Molecular cancer therapeutics,8,7,1779-1786,2009,AACR,Pass-different unit
"He, Qianyuan; Zhang, Zhanjie; Liu, Haojie; Tuo, Zhan; Zhou, Jie; Hu, Yan; Sun, Yajie; Wan, Chao; Xu, Zushun; Lovell, Jonathan F; ",Relieving immunosuppression during long-term anti-angiogenesis therapy using photodynamic therapy and oxygen delivery,Nanoscale,12,27,14788-14800,2020,Royal Society of Chemistry,Pass-no unit
"Päll, Taavi; Pink, Anne; Kasak, Lagle; Turkina, Marina; Anderson, Wally; Valkna, Andres; Kogerman, Priit; ",Soluble CD44 interacts with intermediate filament protein vimentin on endothelial cell surface,PloS one,6,12,e29305,2011,"Public Library of Science San Francisco, USA",Pass
"Sartippour, Maryam R; Heber, David; Zhang, Liping; Beatty, Perrin; Elashoff, David; Elashoff, Robert; Go, Vay Liang; Brooks, Mai N; ",Inhibition of fibroblast growth factors by green tea,International journal of oncology,21,3,487-491,2002,Spandidos Publications,Cannot access
"Klotzsche-von Ameln, Anne; Prade, Ina; Grosser, Marianne; Kettelhake, Antje; Rezaei, Maryam; Flamme, Ingo; Wielockx, Ben; Breier, Georg; ",Prolyl hydroxylase-4 overexpression stimulates tumor angiogenesis in mouse osteosarcoma via transforming growth factor-α,,,,,,,Pass-no unit
"Abounader, Roger; Laterra, John; ",Scatter factor/hepatocyte growth factor in brain tumor growth and angiogenesis,Neuro-oncology,7,4,436-451,2005,Oxford University Press,Review
"Baker, Marianne; Reynolds, Louise E; Robinson, Stephen D; Lees, Delphine M; Parsons, Maddy; Elia, George; Hodivala-Dilke, Kairbaan; ","Stromal Claudin14-heterozygosity, but not deletion, increases tumour blood leakage without affecting tumour growth",PloS one,8,5,e62516,2013,"Public Library of Science San Francisco, USA",
"Wu, Shan; Wang, Yu; Guo, Jinsong; Chen, Qunzhi; Zhang, Jue; Fang, Jing; ",Nanosecond pulsed electric fields inhibit breast cancer development and suppress tumor blood vessel growth,2013 19th IEEE Pulsed Power Conference (PPC),,,5-Jan,2013,IEEE,Pass
"Zhang, Ming-Zhi; Xu, Jie; Yao, Bing; Yin, Huiyong; Cai, Qiuyin; Shrubsole, Martha J; Chen, Xiwu; Kon, Valentina; Zheng, Wei; Pozzi, Ambra; ",Inhibition of 11β–hydroxysteroid dehydrogenase type II selectively blocks the tumor COX-2 pathway and suppresses colon carcinogenesis in mice and humans,The Journal of clinical investigation,119,4,876-885,2009,Am Soc Clin Investig,Pass
