Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,Note
"Yuan, Fan; Salehi, Hassan A; Boucher, Yves; Vasthare, Usha S; Tuma, Ronald F; Jain, Rakesh K; ",Vascular permeability and microcirculation of gliomas and mammary carcinomas transplanted in rat and mouse cranial windows,Cancer research,54,17,4564-4568,1994,AACR,
"Chauhan, Vikash P; Stylianopoulos, Triantafyllos; Martin, John D; Popović, Zoran; Chen, Ou; Kamoun, Walid S; Bawendi, Moungi G; Fukumura, Dai; Jain, Rakesh K; ",Normalization of tumour blood vessels improves the delivery of nanomedicines in a size-dependent manner,Nano-Enabled Medical Applications,,,279-311,2020,Jenny Stanford Publishing,Pass
"Chang, Yong S; di Tomaso, Emmanuelle; McDonald, Donald M; Jones, Rosemary; Jain, Rakesh K; Munn, Lance L; ",Mosaic blood vessels in tumors: frequency of cancer cells in contact with flowing blood,Proceedings of the National Academy of Sciences,97,26,14608-14613,2000,National Acad Sciences,
"Kamoun, Walid S; Ley, Carsten D; Farrar, Christian T; Duyverman, Annique M; Lahdenranta, Johanna; Lacorre, Delphine A; Batchelor, Tracy T; di Tomaso, Emmanuelle; Duda, Dan G; Munn, Lance L; ","Edema control by cediranib, a vascular endothelial growth factor receptor–targeted kinase inhibitor, prolongs survival despite persistent brain tumor growth in mice",Journal of clinical oncology,27,15,2542,2009,American Society of Clinical Oncology,
"Abramsson, Alexandra; Lindblom, Per; Betsholtz, Christer; ",Endothelial and nonendothelial sources of PDGF-B regulate pericyte recruitment and influence vascular pattern formation in tumors,The Journal of clinical investigation,112,8,1142-1151,2003,Am Soc Clin Investig,
"Tufto, Ingunn; Rofstad, Einar K; ",Interstitial fluid pressure and capillary diameter distribution in human melanoma xenografts,Microvascular research,58,3,205-214,1999,Elsevier,Read
"Izumi, Yotaro; Xu, Lei; Di Tomaso, Emmanuelle; Fukumura, Dai; Jain, Rakesh K; ",Herceptin acts as an anti-angiogenic cocktail,Nature,416,6878,279-280,2002,Nature Publishing Group UK London,
"Falcón, Beverly L; Hashizume, Hiroya; Koumoutsakos, Petros; Chou, Jeyling; Bready, James V; Coxon, Angela; Oliner, Jonathan D; McDonald, Donald M; ",Contrasting actions of selective inhibitors of angiopoietin-1 and angiopoietin-2 on the normalization of tumor blood vessels,The American journal of pathology,175,5,2159-2170,2009,Elsevier,Pass
"Morikawa, Shunichi; Baluk, Peter; Kaidoh, Toshiyuki; Haskell, Amy; Jain, Rakesh K; McDonald, Donald M; ",Abnormalities in pericytes on blood vessels and endothelial sprouts in tumors,The American journal of pathology,160,3,985-1000,2002,Elsevier,
"Gaustad, Jon-Vidar; Simonsen, Trude G; Hansem, Lise Mari K; Rofstad, Einar K; ",Intravital microscopy of tumor vessel morphology and function using a standard fluorescence microscope,European Journal of Nuclear Medicine and Molecular Imaging,,,12-Jan,2021,Springer,
"Monsky, Wayne L; Carreira, Carla Mouta; Tsuzuki, Yoshikazu; Gohongi, Takeshi; Fukumura, Dai; Jain, Rakesh K; ",Role of host microenvironment in angiogenesis and microvascular functions in human breast cancer xenografts: mammary fat pad versus cranial tumors,Clinical Cancer Research,8,4,1008-1013,2002,AACR,
